player_id,games,minutes,off_rebs,def_rebs,off_rebchances,def_rebchances
39,50,856.5166667,33,222,744,759
166,54,1680.123333,39,210,1638,1461
317,70,1962.798333,148,474,1706,1805
251,214,3987.693333,95,441,3715,3584
10,187,4956.941667,85,978,4581,4379
47,90,1832.656667,24,242,1678,1687
220,21,107.055,12,23,95,104
54,30,359.585,16,62,336,351
46,58,854.1333333,22,73,683,740
222,32,543.4816667,31,66,475,479
19,149,2804.243333,38,162,2541,2486
365,27,349.1383333,5,46,319,352
38,3,21.96333333,2,4,20,17
9,150,2945.685,69,289,2586,2638
279,8,80.92166667,4,11,64,82
132,57,548.9066667,3,70,503,478
129,215,5327.131667,53,290,4717,4612
970,36,376.4866667,2,47,320,325
13,168,3978.858333,476,1002,3754,3689
149,185,5031.868333,377,1316,4517,4835
974,11,270.5783333,3,42,263,261
144,168,4827.211667,91,576,4263,4416
364,144,2385.616667,52,281,2077,2218
136,152,4205.878333,367,879,3700,3584
164,13,46.93166667,1,9,38,42
253,13,112.1816667,8,21,101,101
230,16,261.5583333,26,62,221,221
17,169,4074.216667,28,276,3504,3649
45,47,731.7633333,62,143,623,629
148,91,2166.125,40,267,1919,2057
115,43,572.4333333,52,113,516,503
388,162,2878.676667,176,445,2566,2555
71,64,1088.788333,81,203,914,945
183,41,715.405,5,78,683,634
302,73,1473.083333,43,126,1305,1296
879,6,67.29333333,2,7,61,52
874,39,926.6616667,56,198,887,838
126,130,3518.481667,125,524,3185,3201
52,52,841.7783333,13,93,754,794
246,110,2055.83,141,391,1817,1794
213,5,30.61666667,0,3,23,28
244,24,380.715,40,93,313,306
123,250,9189.303333,265,1767,7975,8355
122,147,4955.681667,160,790,4578,4465
153,49,1662.125,48,296,1364,1427
257,161,4566.361667,160,504,4179,4078
193,48,758.2183333,77,183,706,692
396,72,1382.123333,20,92,1263,1275
252,91,1193.645,100,177,1125,1108
291,26,361.3766667,5,32,336,322
292,171,2990.963333,177,525,2628,2739
419,37,161.7233333,2,17,150,147
274,120,2420.826667,89,284,2052,2177
416,51,762.9783333,65,144,672,657
98,120,1654.548333,42,128,1505,1466
156,80,1403.133333,7,127,1302,1315
182,23,424.9733333,8,29,371,382
26,197,3682.968333,436,777,3293,3328
11,53,592.375,17,60,504,487
198,56,1336.29,14,117,1220,1204
255,92,900.7116667,8,80,818,770
194,255,6151.425,45,696,5495,5768
179,69,804.555,46,171,719,685
145,201,5848.433333,675,1585,5348,5374
625,18,225.585,32,47,238,233
2,31,456.7233333,3,40,410,398
223,252,4430.343333,141,394,3887,4192
16,188,3544.818333,36,306,3280,3139
475,115,3418.985,146,471,2959,3069
151,247,6429.185,197,762,5625,5981
104,10,199.64,1,17,178,188
50,83,1382.02,113,273,1240,1215
300,114,2381.46,157,542,2230,2103
208,72,1579.655,110,234,1514,1447
69,185,5473.906667,91,491,4860,4883
134,25,300.055,9,50,285,275
186,106,2461.806667,42,190,2257,2203
267,121,3003.825,212,319,2657,2650
117,49,1249.458333,16,119,1120,1103
417,45,615.5433333,24,81,615,558
484,87,1492.695,16,137,1276,1350
121,44,558.5116667,60,95,508,479
86,250,8547.233333,183,1064,7833,7654
310,12,102.2233333,5,10,99,70
608,11,89.46,2,6,82,87
389,131,2554.416667,232,667,2259,2441
24,252,6745.888333,260,1052,6349,6092
318,232,7665.42,144,988,6706,6964
264,165,3206.736667,51,337,3013,2887
263,15,124.3633333,5,13,113,119
409,72,753.4666667,38,144,767,696
113,164,2895.238333,78,449,2643,2550
